,TFIDF Cluster,jobSkill_x,jobSkill_y,title
67,69,"Information Technology,Engineering, Information Technology",Mobile operator specific application software,6
68,70,"Finance, Other,General Business, Administrative,Strategy/Planning, Information Technology, Consulting,Finance, Sales,Marketing, Sales,Marketing, Public Relations, Writing/Editing,Management, Manufacturing",,22
69,71,"Information Technology,Consulting, Accounting/Auditing,Information Technology, Consulting,Engineering, Information Technology,Management, Manufacturing,Human Resources,Finance, Consulting, Accounting/Auditing,Consulting,Administrative,Consulting, Information Technology,Engineering,Analyst, Information Technology,Accounting/Auditing, Finance,Information Technology, Product Management, Engineering,Information Technology, Consulting, Accounting/Auditing,Accounting/Auditing, Information Technology, Consulting",,27
70,72,"Other,Project Management, Information Technology,Administrative,Human Resources,Customer Service,Business Development, Sales,Marketing, Sales,Finance, Sales",Active Learning,12
71,73,"Other,Information Technology,Finance, Sales,Engineering, Information Technology,Consulting, Information Technology, Sales,Marketing, Sales",,14
72,74,"Engineering, Information Technology,Design, Information Technology,Design, Art/Creative, Information Technology,Marketing,Marketing, Sales,Design, Art/Creative,Human Resources,Other,Engineering,Design,Information Technology,Education, Management",Computer imaging software,33
73,75,"Engineering, Information Technology,Information Technology",,9
74,76,"Analyst, Information Technology, Engineering",,16
75,77,"Engineering, Information Technology",,17
76,78,"Information Technology,Engineering, Information Technology",,5
77,79,"Engineering, Information Technology,Sales, Business Development,Design, Art/Creative, Information Technology",,16
78,80,"Legal, Public Relations, Human Resources,Legal, Strategy/Planning, Consulting,Quality Assurance, Science, Health Care Provider,Strategy/Planning, Consulting, Accounting/Auditing,Business Development, Strategy/Planning, Product Management",,5
79,81,"Finance, Sales,Engineering, Information Technology,Information Technology,Consulting, Information Technology, Sales,Accounting/Auditing, Finance,Other,Project Management, Information Technology,Marketing, Sales",,21
80,82,"Finance, Sales,Legal,Accounting/Auditing, Legal, Finance,Finance, Information Technology, Engineering,Quality Assurance, Information Technology,Product Management, Marketing",,8
81,83,"Information Technology,Engineering, Information Technology,Art/Creative, Marketing,Information Technology, Marketing, Research,Legal, Marketing, Public Relations,Finance, Product Management,Strategy/Planning",,20
82,84,"Customer Service, Information Technology,Engineering, Information Technology,Administrative,Management, Manufacturing,Sales, Management,Marketing, Sales",,19
83,85,"Engineering, Information Technology,Information Technology",,7
84,86,"Design, Art/Creative, Information Technology,Accounting/Auditing, Finance,Other,Finance, Sales,Marketing, Sales",,16
85,87,"Engineering, Information Technology",,8
86,88,"Information Technology,Education, Engineering, Information Technology,Engineering, Information Technology,Information Technology, Product Management, Engineering,Quality Assurance, Engineering, Information Technology,Engineering,Project Management, Information Technology, Engineering,Information Technology, Engineering,Research, Information Technology,Engineering, Production, Research,Other,Information Technology, Consulting,Product Management, Marketing,Engineering, Information Technology, Research,Finance, Sales,Consulting, Product Management, Production",Programming,129
87,89,"Engineering, Information Technology,Information Technology,Analyst, Information Technology","Instant messaging software,Network monitoring software,Software defined networking/ virtualization software,Network security and virtual private network VPN equipment software,LAN software,Network connectivity terminal emulation software,WAN switching software and firmware,Network operation system software,Administration software,Network security or virtual private network VPN management software,Gateway software,Internet directory services software,Storage networking software,Internet protocol IP multimedia subsystem software,Switch or router software",25
88,90,"Research, Analyst, Information Technology,Marketing, Public Relations, Writing/Editing,Finance, Sales,Marketing, Sales,Business Development, Sales",,7
89,91,"Engineering, Information Technology,Marketing, Sales",,8
90,92,"Information Technology,Engineering, Information Technology",,8
91,93,"Business Development,Customer Service, Information Technology",,6
